Epoch: 010, LR: 0.010000, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 020, LR: 0.009000, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 030, LR: 0.008100, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 040, LR: 0.007290, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 050, LR: 0.006561, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 060, LR: 0.005905, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 070, LR: 0.005314, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 080, LR: 0.004783, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 090, LR: 0.004305, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 100, LR: 0.003874, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 110, LR: 0.003874, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 120, LR: 0.003487, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 130, LR: 0.003138, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 140, LR: 0.002824, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 150, LR: 0.002542, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 160, LR: 0.002288, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 170, LR: 0.002059, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 180, LR: 0.001853, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 190, LR: 0.001668, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 200, LR: 0.001501, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
Epoch: 210, LR: 0.001351, Loss: nan, Validation MAE: nan, Test MAE: nan, Test MAE norm: nan
